,Sol,avg_duration,avg_peak,flare_count,aurora_count,target
109,2015-04-25,46.0,23.5,2,0,0
110,2015-04-26,15.2,9.0,5,0,0
111,2015-04-28,9.0,6.0,1,0,0
112,2015-04-29,21.0,10.0,2,0,0
113,2015-04-30,115.0,71.0,3,0,0
114,2015-05-01,12.5,6.0,2,0,0
115,2015-05-02,13.0,7.0,5,0,0
116,2015-05-03,23.125,12.875,8,0,0
117,2015-05-04,14.0,7.8,10,0,0
118,2015-05-05,13.136363636363637,6.863636363636363,22,0,0
119,2015-05-06,9.9,5.3,10,0,0
120,2015-05-07,14.75,6.75,8,0,0
121,2015-05-08,15.11111111111111,8.333333333333334,9,0,0
122,2015-05-09,31.0,13.8,5,0,0
123,2015-05-10,23.285714285714285,13.0,7,1,1
124,2015-05-11,17.714285714285715,8.857142857142858,7,0,0
125,2015-05-12,29.5,15.75,4,1,1
126,2015-05-13,26.4,16.8,5,16,1
127,2015-05-14,25.333333333333332,16.555555555555557,9,0,0
128,2015-05-15,10.75,6.0,8,0,0
129,2015-05-16,20.0,11.0,1,0,0
130,2015-05-17,10.0,4.666666666666667,3,0,0
131,2015-05-18,15.0,9.0,4,0,0
132,2015-05-19,23.6,9.6,5,2,1
133,2015-05-20,23.428571428571427,12.285714285714286,7,1,1
134,2015-05-21,24.375,10.625,8,0,0
135,2015-05-22,46.6,20.6,5,0,0
136,2015-05-23,8.375,5.5,8,0,0
137,2015-05-25,46.5,25.5,2,0,0
138,2015-05-26,28.375,10.875,8,0,0
139,2015-05-27,24.25,12.75,4,0,0
140,2015-05-28,29.0,14.5,2,0,0
141,2015-05-30,16.333333333333332,8.666666666666666,3,0,0
142,2015-05-31,27.25,12.0,4,0,0
143,2015-06-01,13.0,7.0,1,0,0
144,2015-06-02,15.25,6.5,4,0,0
145,2015-06-03,72.0,52.0,2,0,0
146,2015-06-04,47.4,20.0,5,0,0
147,2015-06-05,26.0,12.2,5,0,0
148,2015-06-06,36.25,21.0,4,0,0
149,2015-06-07,20.0,8.0,6,0,0
150,2015-06-08,7.0,3.5,2,2,1
151,2015-06-09,19.0,12.0,2,0,0
152,2015-06-10,37.54545454545455,18.727272727272727,11,0,0
153,2015-06-11,15.65,10.0,20,0,0
154,2015-06-12,11.11111111111111,7.222222222222222,9,0,0
155,2015-06-13,16.0,10.666666666666666,15,0,0
156,2015-06-14,56.42857142857143,29.714285714285715,7,2,1
157,2015-06-15,15.6,8.4,5,0,0
158,2015-06-16,42.111111111111114,28.88888888888889,9,0,0
159,2015-06-17,25.75,16.5,4,0,0
160,2015-06-18,42.09090909090909,22.636363636363637,11,0,0
161,2015-06-19,23.333333333333332,13.833333333333334,6,0,0
162,2015-06-20,40.25,22.25,4,0,0
163,2015-06-21,38.5,21.4,10,0,0
164,2015-06-22,44.5,27.5,6,3,1
165,2015-06-23,14.666666666666666,9.0,3,37,1
166,2015-06-24,17.6,10.0,5,2,1
167,2015-06-25,26.666666666666668,8.0,3,3,1
168,2015-06-26,6.666666666666667,3.8333333333333335,12,0,0
169,2015-06-27,19.0,7.5,2,0,0
170,2015-06-28,7.8,4.4,5,0,0
171,2015-06-29,18.285714285714285,10.571428571428571,7,0,0
172,2015-06-30,29.6,14.6,5,0,0
173,2015-07-01,29.0,21.0,2,0,0
174,2015-07-02,83.33333333333333,42.833333333333336,6,0,0
175,2015-07-03,12.5,6.9,10,0,0
176,2015-07-04,15.0,7.0,3,0,0
177,2015-07-05,27.6,12.4,5,0,0
178,2015-07-06,13.416666666666666,8.083333333333334,12,0,0
179,2015-07-07,23.0,12.0,7,0,0
180,2015-07-08,10.0,6.0,1,0,0
181,2015-07-09,15.0,6.5,2,0,0
182,2015-07-10,8.0,4.0,3,0,0
183,2015-07-11,14.0,7.5,2,0,0
184,2015-07-12,28.0,16.5,2,0,0
185,2015-07-13,5.0,3.0,1,1,1
186,2015-07-14,55.833333333333336,17.0,6,0,0
187,2015-07-16,20.0,11.0,1,0,0
188,2015-07-17,12.0,6.0,1,0,0
189,2015-07-18,24.0,14.0,1,0,0
190,2015-07-19,227.5,86.5,2,0,0
191,2015-07-20,36.0,16.5,4,0,0
192,2015-07-21,33.0,14.0,2,0,0
193,2015-07-22,7.0,3.0,1,0,0
194,2015-07-24,16.333333333333332,8.222222222222221,9,0,0
195,2015-07-26,6.25,4.0,4,0,0
196,2015-07-27,24.333333333333332,7.0,3,0,0
197,2015-07-28,9.0,4.0,1,0,0
198,2015-07-30,25.0,18.0,1,0,0
199,2015-07-31,13.0,7.0,1,0,0
200,2015-08-01,12.8,7.2,5,0,0
201,2015-08-02,30.0,16.571428571428573,7,0,0
202,2015-08-03,19.0,11.0,1,0,0
203,2015-08-04,15.0,5.0,1,0,0
204,2015-08-05,8.5,4.333333333333333,6,0,0
205,2015-08-06,21.0,12.25,4,0,0
206,2015-08-07,17.642857142857142,10.142857142857142,14,2,1
207,2015-08-08,21.8,12.4,5,5,1
208,2015-08-09,53.0,22.0,1,1,1
209,2015-08-10,7.0,5.0,2,0,0
210,2015-08-11,9.0,5.714285714285714,7,0,0
211,2015-08-12,74.0,31.5,2,0,0
212,2015-08-13,16.5,8.5,6,0,0
213,2015-08-14,10.333333333333334,6.666666666666667,6,0,0
214,2015-08-15,41.666666666666664,24.833333333333332,6,0,0
215,2015-08-16,15.0,9.0,2,5,1
216,2015-08-17,9.0,5.0,1,1,1
217,2015-08-19,36.0,20.0,1,4,1
218,2015-08-20,24.47,13.9,10,0,0
219,2015-08-21,29.25,19.125,8,0,0
220,2015-08-22,16.333333333333332,11.666666666666666,15,0,0
221,2015-08-23,16.666666666666668,8.833333333333334,6,0,0
222,2015-08-24,8.263157894736842,4.894736842105263,19,0,0
223,2015-08-25,10.947368421052632,6.2631578947368425,19,0,0
224,2015-08-26,10.0,8.5,2,1,1
225,2015-08-27,27.4,20.0,5,3,1
226,2015-08-28,14.210526315789474,8.052631578947368,19,8,1
227,2015-08-29,36.666666666666664,23.0,6,0,0
228,2015-08-30,43.0,42.0,3,0,0
229,2015-08-31,23.5,19.0,2,0,0
230,2015-09-02,10.0,5.0,1,0,0
231,2015-09-03,21.428571428571427,7.571428571428571,7,0,0
232,2015-09-04,126.5,77.5,2,1,1
233,2015-09-05,8.0,4.0,2,0,0
234,2015-09-11,13.857142857142858,6.714285714285714,7,4,1
235,2015-09-13,11.666666666666666,4.333333333333333,3,0,0
236,2015-09-14,7.6,4.4,5,0,0
237,2015-09-15,8.636363636363637,5.181818181818182,11,2,1
238,2015-09-16,34.27272727272727,24.454545454545453,11,0,0
239,2015-09-17,13.941176470588236,7.705882352941177,17,0,0
240,2015-09-18,78.875,47.125,8,0,0
241,2015-09-19,36.666666666666664,27.333333333333332,3,0,0
242,2015-09-20,26.875,16.875,8,1,1
243,2015-09-21,9.857142857142858,5.571428571428571,7,0,0
244,2015-09-22,10.0,4.0,2,2,1
245,2015-09-23,13.214285714285714,6.785714285714286,14,1,1
246,2015-09-24,15.5,6.5,8,0,0
247,2015-09-25,11.0,6.0,4,0,0
248,2015-09-26,9.333333333333334,4.5,6,0,0
249,2015-09-27,14.933333333333334,8.266666666666667,15,0,0
250,2015-09-28,23.0,12.333333333333334,18,0,0
251,2015-09-29,12.705882352941176,6.0588235294117645,17,0,0
252,2015-09-30,12.0,6.9,10,0,0
253,2015-10-01,23.25,19.375,8,1,1
254,2015-10-02,12.4375,6.25,16,2,1
255,2015-10-03,24.75,18.583333333333332,12,0,0
256,2015-10-04,15.5,6.0,2,3,1
257,2015-10-05,123.0,22.0,1,0,0
258,2015-10-06,189.0,177.0,1,0,0
259,2015-10-07,15.0,7.666666666666667,3,40,1
260,2015-10-08,7.5,5.5,2,11,1
261,2015-10-09,43.0,5.0,1,1,1
262,2015-10-10,11.0,6.0,1,0,0
263,2015-10-11,66.0,36.5,2,0,0
264,2015-10-12,29.333333333333332,15.666666666666666,3,0,0
265,2015-10-13,33.44444444444444,11.777777777777779,9,0,0
266,2015-10-14,22.428571428571427,9.142857142857142,7,3,1
267,2015-10-15,16.842105263157894,12.157894736842104,19,0,0
268,2015-10-16,11.636363636363637,6.2727272727272725,11,1,1
269,2015-10-17,13.266666666666667,7.933333333333334,15,0,0
270,2015-10-18,16.25,10.25,4,2,1
271,2015-10-19,9.88888888888889,5.555555555555555,9,0,0
272,2015-10-20,7.5,3.8333333333333335,6,0,0
273,2015-10-21,10.444444444444445,6.222222222222222,9,1,1
274,2015-10-22,249.5,100.5,2,0,0
275,2015-10-23,12.0,5.5,4,1,1
276,2015-10-24,40.285714285714285,20.0,7,0,0
277,2015-10-25,22.0,13.0,2,0,0
278,2015-10-26,17.0,8.0,3,0,0
279,2015-10-27,83.05416666666667,60.625,8,0,0
280,2015-10-28,22.0,10.666666666666666,6,0,0
281,2015-10-29,10.571428571428571,5.428571428571429,14,0,0
282,2015-10-30,19.133333333333333,9.466666666666667,15,0,0
283,2015-10-31,18.428571428571427,8.214285714285714,14,0,0
284,2015-11-01,32.125,20.1875,16,0,0
285,2015-11-02,16.88888888888889,8.444444444444445,9,0,0
286,2015-11-03,18.428571428571427,9.571428571428571,7,8,1
287,2015-11-04,15.666666666666666,8.083333333333334,12,13,1
288,2015-11-05,29.0,12.0,1,1,1
289,2015-11-06,17.857142857142858,10.142857142857142,7,0,0
290,2015-11-07,22.5,10.5,4,31,1
291,2015-11-08,6.0,3.0,1,3,1
292,2015-11-09,39.0,23.0,1,4,1
293,2015-11-10,18.4,7.0,5,0,0
294,2015-11-11,224.0,124.5,2,0,0
295,2015-11-12,17.0,12.0,2,0,0
296,2015-11-13,16.0,7.0,1,1,1
297,2015-11-15,12.0,6.0,1,0,0
298,2015-11-16,18.0,9.0,1,0,0
299,2015-11-17,9.5,5.0,2,0,0
300,2015-11-18,36.0,12.5,2,1,1
301,2015-11-19,9.0,4.0,1,0,0
